target,window,test_loss,test_loss_std,top1,top5,n_seeds
ViT-L-14__block16,700_800,5.3084,0.0046,0.006,0.026,5
ViT-L-14__block16,800_900,5.308,0.0012,0.005,0.03,5
ViT-L-14__block16,900_1000,5.3076,0.0044,0.004,0.023,5
ViT-L-14__block16__fov,0_100,4.3491,0.0209,0.071,0.235,5
ViT-L-14__block16__fov,100_200,3.5809,0.0671,0.167,0.413,5
ViT-L-14__block16__fov,200_300,3.6387,0.0366,0.123,0.422,5
ViT-L-14__block16__fov,300_400,4.3444,0.0204,0.063,0.231,5
ViT-L-14__block16__fov,400_500,5.2244,0.0629,0.019,0.05,5
ViT-L-14__block16__fov,500_600,5.2911,0.0051,0.007,0.035,5
ViT-L-14__block16__fov,600_700,5.3067,0.0052,0.006,0.024,5
ViT-L-14__block16__fov,700_800,5.3082,0.004,0.01,0.029,5
ViT-L-14__block16__fov,800_900,5.309,0.0044,0.005,0.029,5
ViT-L-14__block16__fov,900_1000,5.3086,0.0052,0.006,0.024,5
ViT-L-14__block20,0_100,4.6626,0.0212,0.029,0.146,5
ViT-L-14__block20,100_200,3.9497,0.0457,0.093,0.322,5
ViT-L-14__block20,200_300,3.8773,0.0169,0.109,0.365,5
ViT-L-14__block20,300_400,4.3096,0.0204,0.064,0.225,5
ViT-L-14__block20,400_500,5.2451,0.0044,0.006,0.035,5
ViT-L-14__block20,500_600,5.295,0.0043,0.009,0.028,5
ViT-L-14__block20,600_700,5.3116,0.0019,0.005,0.028,5
ViT-L-14__block20,700_800,5.3142,0.0058,0.01,0.028,5
ViT-L-14__block20,800_900,5.3193,0.0058,0.004,0.029,5
ViT-L-14__block20,900_1000,5.3236,0.0072,0.006,0.027,5
ViT-L-14__block20__fov,0_100,4.6459,0.0396,0.052,0.168,5
ViT-L-14__block20__fov,100_200,3.8713,0.0146,0.114,0.35,5
ViT-L-14__block20__fov,200_300,3.8275,0.0295,0.116,0.352,5
ViT-L-14__block20__fov,300_400,4.2673,0.0379,0.064,0.215,5
ViT-L-14__block20__fov,400_500,5.2133,0.0669,0.007,0.05,5
ViT-L-14__block20__fov,500_600,5.2957,0.0064,0.005,0.028,5
